Series;Type(V);Display Format;mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);Duty;Built-In Controller;Yellow;Green;Red;Blue;White;Image path;Datasheet part;3d model part
OLED-076H016A-LPP5N00000;graphic;76 x 16 dots;55.7 x 32.0 x 11.0 (max.);46.0 x 14.5;-;0.45 x 0.60;0.55 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37830;Datasheet/displays/OLED-076H016A-LPP5N00000\OLED-076H016A-LPP5N00000.pdf;None
OLED-076H016A-WPP5N00000;graphic;76 x 16 dots;55.7 x 32.0 x 11.0 (max.);46.0 x 14.5;-;0.45 x 0.60;0.55 x 0.70;1/16;OLE D-0010;-;-;-;-;Yes;37832;Datasheet/displays/OLED-076H016A-WPP5N00000\OLED-076H016A-WPP5N00000.pdf;None
OLED-096O064A-BPP3N00000;graphic;96 x 64 dots;24.9 x 22.95 x 1.65;21.953 x 15.424;-;0.186 x 0.188;0.208 x 0.210;1/64;OLE D-0010;-;-;-;Yes;-;37833;Datasheet/displays/OLED-096O064A-BPP3N00000\OLED-096O064A-BPP3N00000.pdf;None
OLED-096O064A-GPP3N00000;graphic;96 x 64 dots;24.9 x 22.95 x 1.65;21.953 x 15.424;-;0.186 x 0.188;0.208 x 0.210;1/64;OLE D-0010;-;Yes;-;-;-;37834;Datasheet/displays/OLED-096O064A-GPP3N00000\OLED-096O064A-GPP3N00000.pdf;None
OLED-096O064A-LPP3N00000;graphic;96 x 64 dots;24.9 x 22.95 x 1.65;21.953 x 15.424;-;0.186 x 0.188;0.208 x 0.210;1/64;SSD1305Z;Yes;-;-;-;-;37835;Datasheet/displays/OLED-096O064A-LPP3N00000\OLED-096O064A-LPP3N00000.pdf;None
OLED-096Y064A-BPP3N00000;graphic;96 x 64 dots;33.59 x 23.62 x 1.65;25.49 x 17.65;-;0.215 x 0.215;0.245 x 0.245;1/64;OLE D-0010;-;-;-;Yes;-;37837;Datasheet/displays/OLED-096Y064A-BPP3N00000\OLED-096Y064A-BPP3N00000.pdf;None
OLED-096Y064A-LPP3N00000;graphic;96 x 64 dots;33.59 x 23.62 x 1.65;25.49 x 17.65;-;0.215 x 0.215;0.245 x 0.245;1/64;OLE D-0010;Yes;-;-;-;-;37838;Datasheet/displays/OLED-096Y064A-LPP3N00000\OLED-096Y064A-LPP3N00000.pdf;None
OLED-096Y064A-WPP3N00000;graphic;96 x 64 dots;33.59 x 23.62 x 1.65;25.49 x 17.65;-;0.215 x 0.215;0.245 x 0.245;1/64;OLE D-0010;-;-;-;-;Yes;37839;Datasheet/displays/OLED-096Y064A-WPP3N00000\OLED-096Y064A-WPP3N00000.pdf;None
OLED-096Y064B-BPP3N00000;graphic;96 x 64 dots;33.59 x 23.62 x 1.65;25.49 x 17.65;-;0.215 x 0.215;0.245 x 0.245;1/64;OLE D-0010;-;-;-;Yes;-;37840;Datasheet/displays/OLED-096Y064B-BPP3N00000\OLED-096Y064B-BPP3N00000.pdf;None
OLED-096Y064B-LPP3N00000;graphic;96 x 64 dots;33.59 x 23.62 x 1.65;25.49 x 17.65;-;0.215 x 0.215;0.245 x 0.245;1/64;OLE D-0010;Yes;-;-;-;-;37841;Datasheet/displays/OLED-096Y064B-LPP3N00000\OLED-096Y064B-LPP3N00000.pdf;None
OLED-100H008A;Graphic;100 x 8 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;Y;Y;Y;Y;Y;37708;Datasheet/displays/OLED-100H008A\OLED-100H008A.pdf;None
OLED-100H008A-BPP5N00000;graphic;100 x 8 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;n/a;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;-;-;-;Yes;-;37842;Datasheet/displays/OLED-100H008A-BPP5N00000\OLED-100H008A-BPP5N00000.pdf;None
OLED-100H008A-GPP5N00000;graphic;100 x 8 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;n/a;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;-;Yes;-;-;-;37843;Datasheet/displays/OLED-100H008A-GPP5N00000\OLED-100H008A-GPP5N00000.pdf;None
OLED-100H008A-LPP5N00000;graphic;100 x 8 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;n/a;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;Yes;-;-;-;-;37844;Datasheet/displays/OLED-100H008A-LPP5N00000\OLED-100H008A-LPP5N00000.pdf;None
OLED-100H008A-WPP5N00000;graphic;100 x 8 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;n/a;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;-;-;-;-;Yes;37846;Datasheet/displays/OLED-100H008A-WPP5N00000\OLED-100H008A-WPP5N00000.pdf;None
OLED-100H016A-BPP5N00000;graphic;100 x 16 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;.;-;Yes;-;37847;Datasheet/displays/OLED-100H016A-BPP5N00000\OLED-100H016A-BPP5N00000.pdf;None
OLED-100H016A-GPP5N00000;graphic;100 x 16 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;Yes;-;-;-;37848;Datasheet/displays/OLED-100H016A-GPP5N00000\OLED-100H016A-GPP5N00000.pdf;None
OLED-100H016A-LPP3N00000;graphic;100 x 16 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37973;Datasheet/displays/OLED-100H016A-LPP3N00000\OLED-100H016A-LPP3N00000.pdf;None
OLED-100H016A-LPP5N00000;graphic;100 x 16 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;Yes;-;-;-;-;37849;Datasheet/displays/OLED-100H016A-LPP5N00000\OLED-100H016A-LPP5N00000.pdf;None
OLED-100H016A-RPP5N00000;graphic;100 x 16 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;-;Yes;-;-;37850;Datasheet/displays/OLED-100H016A-RPP5N00000\OLED-100H016A-RPP5N00000.pdf;None
OLED-100H016A-WPP5N00000;graphic;100 x 16 dots;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;-;-;-;Yes;37851;Datasheet/displays/OLED-100H016A-WPP5N00000\OLED-100H016A-WPP5N00000.pdf;None
OLED-100H016C-BPP5N00000;graphic;100 x 16 dots;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;-;-;Yes;-;37857;Datasheet/displays/OLED-100H016C-BPP5N00000\OLED-100H016C-BPP5N00000.pdf;None
OLED-100H016C-GPP5N00000;graphic;100 x 16 dots;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;Yes;-;-;-;37858;Datasheet/displays/OLED-100H016C-GPP5N00000\OLED-100H016C-GPP5N00000.pdf;None
OLED-100H016C-LPP5N00000;graphic;100 x 16 dots;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;Yes;-;-;-;-;37859;Datasheet/displays/OLED-100H016C-LPP5N00000\OLED-100H016C-LPP5N00000.pdf;None
OLED-100H016C-WPP5N00000;graphic;100 x 16 dots;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;-;-;-;Yes;37861;Datasheet/displays/OLED-100H016C-WPP5N00000\OLED-100H016C-WPP5N00000.pdf;None
OLED-100H016D;Graphic;100 x 16 dots;85.0 x 30.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;Y;Y;Y;Y;Y;37710;Datasheet/displays/OLED-100H016D\OLED-100H016D.pdf;None
OLED-100H016D-BPP5N00000;graphic;100 x 16 dots;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;-;-;Yes;-;37862;Datasheet/displays/OLED-100H016D-BPP5N00000\OLED-100H016D-BPP5N00000.pdf;None
OLED-100H016D-GPP5N00000;graphic;100 x 16 dots;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;Yes;-;-;-;37863;Datasheet/displays/OLED-100H016D-GPP5N00000\OLED-100H016D-GPP5N00000.pdf;None
OLED-100H016D-LPP5N00000;graphic;100 x 16 dots;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;Yes;-;-;-;-;37864;Datasheet/displays/OLED-100H016D-LPP5N00000\OLED-100H016D-LPP5N00000.pdf;None
OLED-100H016D-WPP5N00000;graphic;100 x 16 dots;85.0 x 36.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLE D-0010;-;-;-;-;Yes;37866;Datasheet/displays/OLED-100H016D-WPP5N00000\OLED-100H016D-WPP5N00000.pdf;None
OLED-100H016E-BPP5N00000;graphic;100 x 16 dots;84.0 x 44.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;-;-;-;Yes;-;37867;Datasheet/displays/OLED-100H016E-BPP5N00000\OLED-100H016E-BPP5N00000.pdf;None
OLED-100H016E-GPP5N00000;graphic;100 x 16 dots;84.0 x 44.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;-;Yes;-;-;-;37868;Datasheet/displays/OLED-100H016E-GPP5N00000\OLED-100H016E-GPP5N00000.pdf;None
OLED-100H016E-LPP5N00000;graphic;100 x 16 dots;84.0 x 44.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37869;Datasheet/displays/OLED-100H016E-LPP5N00000\OLED-100H016E-LPP5N00000.pdf;None
OLED-100H016E-WPP5N00000;graphic;100 x 16 dots;84.0 x 44.0 x 10.0 (max.);66.0 x 16.0;-;0.55 x 0.65;0.60 x 0.70;1/16;OLED-0010;-;-;-;-;Yes;37871;Datasheet/displays/OLED-100H016E-WPP5N00000\OLED-100H016E-WPP5N00000.pdf;None
OLED-100H016F;graphic;100 x 16 dots;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;-;0.60 x 0.65;0.65 x 0.70;1/16;OLED-0010;Y;Y;Y;Y;Y;37711;Datasheet/displays/OLED-100H016F\OLED-100H016F.pdf;None
OLED-100H016F-BPP5N00000;graphic;100 x 16 dots;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;-;0.60 x 0.65;0.65 x 0.70;1/16;OLED-0010;-;-;-;Yes;-;37872;Datasheet/displays/OLED-100H016F-BPP5N00000\OLED-100H016F-BPP5N00000.pdf;None
OLED-100H016F-GPP5N00000;graphic;100 x 16 dots;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;-;0.60 x 0.65;0.65 x 0.70;1/16;OLED-0010;-;Yes;-;-;-;37873;Datasheet/displays/OLED-100H016F-GPP5N00000\OLED-100H016F-GPP5N00000.pdf;None
OLED-100H016F-LPP5N00000;graphic;100 x 16 dots;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;-;0.60 x 0.65;0.65 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37874;Datasheet/displays/OLED-100H016F-LPP5N00000\OLED-100H016F-LPP5N00000.pdf;None
OLED-100H016F-RPP5N00000;graphic;100 x 16 dots;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;-;0.60 x 0.65;0.65 x 0.70;1/16;OLE D-0010;-;-;Yes;-;-;37875;Datasheet/displays/OLED-100H016F-RPP5N00000\OLED-100H016F-RPP5N00000.pdf;None
OLED-100H016F-WPP5N00000;graphic;100 x 16 dots;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;-;0.60 x 0.65;0.65 x 0.70;1/16;OLED-0010;-;-;-;-;Yes;37876;Datasheet/displays/OLED-100H016F-WPP5N00000\OLED-100H016F-WPP5N00000.pdf;None
OLED-100H016H-GPP5N00000;graphic;100 x 16 dots;180.0 x 40.0 x 9.3 (max.);149.0 x 23.0;-;1.12 x 1.12;1.22 x 1.22;1/16;OLED-0010;-;Yes;-;-;-;37877;Datasheet/displays/OLED-100H016H-GPP5N00000\OLED-100H016H-GPP5N00000.pdf;None
OLED-100H016H-LPP5N00000;graphic;100 x 16 dots;180.0 x 40.0 x 9.3;149.0 x 23.0;-;1.12 x 1.12;1.22 x 1.22;1/16;OLED-0010;Yes;-;-;-;-;37878;Datasheet/displays/OLED-100H016H-LPP5N00000\OLED-100H016H-LPP5N00000.pdf;None
OLED-100H016H-SPP5N00000;graphic;100 x 16 dots;180.0 x 40.0 x 9.3 (max.);149.0 x 23.0;-;1.12 x 1.12;1.22 x 1.22;1/16;OLED-0010;-;-;-;Yes;-;37879;Datasheet/displays/OLED-100H016H-SPP5N00000\OLED-100H016H-SPP5N00000.pdf;None
OLED-100H032A;Graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.20;-;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;Y;Y;Y;-;-;37712;Datasheet/displays/OLED-100H032A\OLED-100H032A.pdf;None
OLED-100H032A-BPP5N00000;graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.20;-;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;-;-;Yes;-;37880;Datasheet/displays/OLED-100H032A-BPP5N00000\OLED-100H032A-BPP5N00000.pdf;None
OLED-100H032A-GPP5N00000;graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.20;-;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;Yes;-;-;-;37881;Datasheet/displays/OLED-100H032A-GPP5N00000\OLED-100H032A-GPP5N00000.pdf;None
OLED-100H032A-LPP5N00000;graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.20;-;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;Yes;-;-;-;-;37882;Datasheet/displays/OLED-100H032A-LPP5N00000\OLED-100H032A-LPP5N00000.pdf;None
OLED-100H032A-WPP5N00000;graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.20;-;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;-;-;-;Yes;37884;Datasheet/displays/OLED-100H032A-WPP5N00000\OLED-100H032A-WPP5N00000.pdf;None
OLED-100H032B-BPP5N00000;graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.20;-;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;-;-;Yes;-;37885;Datasheet/displays/OLED-100H032B-BPP5N00000\OLED-100H032B-BPP5N00000.pdf;None
OLED-100H032B-GPP5N00000;graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.20;-;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;Yes;-;-;-;37886;Datasheet/displays/OLED-100H032B-GPP5N00000\OLED-100H032B-GPP5N00000.pdf;None
OLED-100H032B-LPP5N00000;graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.2;-;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;Yes;-;-;-;-;37887;Datasheet/displays/OLED-100H032B-LPP5N00000\OLED-100H032B-LPP5N00000.pdf;None
OLED-100H032B-WPP5N00000;graphic;100 x 32 dots;98.0 x 60.0 x 10.0 (max.);77.0 x 25.20;-;0.54 x 0.55;0.59 x 0.60;1/16;OLE D-0010;-;-;-;-;Yes;37889;Datasheet/displays/OLED-100H032B-WPP5N00000\OLED-100H032B-WPP5N00000.pdf;None
OLED-128F064Q-LPP3N00000;graphic;128 x 64 dots;89.7 x 47.2 x 3.4;63.41 x 32.69;-;0.45 x 0.45;0.48 x 0.48;1/64;SSD1309;Yes;-;-;-;-;37968;Datasheet/displays/OLED-128F064Q-LPP3N00000\OLED-128F064Q-LPP3N00000.pdf;None
OLED-128O032A-BPP3N00000;graphic;128 x 32 dots;62.0 x 24.0 x 2.35;57.02 x 15.10;-;0.408 x 0.388;0.43 x 0.41;1/32;SSD1305Z;-;-;-;Yes;-;37757;Datasheet/displays/OLED-128O032A-BPP3N00000\OLED-128O032A-BPP3N00000.pdf;None
OLED-128O032A-GPP3N00000;graphic;128 x 32 dots;62.0 x 24.0 x 2.35;57.02 x 15.10;-;0.408 x 0.388;0.43 x 0.41;1/32;SSD1305Z;-;Yes;-;-;-;37890;Datasheet/displays/OLED-128O032A-GPP3N00000\OLED-128O032A-GPP3N00000.pdf;None
OLED-128O032A-LPP3N00000;graphic;128 x 32 dots;62.0 x 24.0 x 2.35;57.02 x 15.10;-;0.408 x 0.388;0.43 x 0.41;1/32;SSD1305Z;Yes;-;-;-;-;37891;Datasheet/displays/OLED-128O032A-LPP3N00000\OLED-128O032A-LPP3N00000.pdf;None
OLED-128O032A-SPP3N00000;graphic;128 x 32 dots;62.0 x 24.0 x 2.35;57.02 x 15.10;-;0.408 x 0.388;0.43 x 0.41;1/32;SSD1305Z;-;-;-;Yes;-;37892;Datasheet/displays/OLED-128O032A-SPP3N00000\OLED-128O032A-SPP3N00000.pdf;None
OLED-128O032A-WPP3N00000;graphic;128 x 32 dots;62.0 x 24.0 x 2.35;57.02 x 15.10;-;0.408 x 0.388;0.43 x 0.41;1/32;SSD1305Z;-;-;-;-;Yes;37893;Datasheet/displays/OLED-128O032A-WPP3N00000\OLED-128O032A-WPP3N00000.pdf;None
OLED-128O032D-LPP3N00000;graphic;128 x 32 dots;30.0 x 11.5 x 1.45;24.384 x 7.584;-;0.152 x 0.152;0.175 x 0.175;1/32;SSD1306BZ;Yes;-;-;-;-;37894;Datasheet/displays/OLED-128O032D-LPP3N00000\OLED-128O032D-LPP3N00000.pdf;None
OLED-128O032D-SPP3N00000;graphic;128 x 32 dots;30.0 x 11.5 x 1.45;24.384 x 7.584;-;0.152 x 0.152;0.175 x 0.175;1/32;SSD1306;-;-;-;Yes;-;37895;Datasheet/displays/OLED-128O032D-SPP3N00000\OLED-128O032D-SPP3N00000.pdf;None
OLED-128O032D-WPP3N00000;graphic;128 x 32 dots;30.0 x 11.5 x 1.45;24.384 x 7.584;-;0.152 x 0.152;0.175 x 0.175;1/32;SSD1306;-;-;-;-;Yes;37896;Datasheet/displays/OLED-128O032D-WPP3N00000\OLED-128O032D-WPP3N00000.pdf;None
OLED-128O032E-LNP3N00000;graphic;128 x 32 dots;33.4 x 14.5 x 1.65;27.68 x 7.80;-;0.176 x 0.176;0.200 x 0.200;1/32;SSD1306BZ;Yes;-;-;-;-;37974;Datasheet/displays/OLED-128O032E-LNP3N00000\OLED-128O032E-LNP3N00000.pdf;None
OLED-128O032E-LPP3N00000;graphic;128 x 32 dots;33.4 x 14.5 x 1.65;27.68 x 7.80;-;0.176 x 0.176;0.200 x 0.200;1/32;SSD1306BZ;Yes;-;-;-;-;37897;Datasheet/displays/OLED-128O032E-LPP3N00000\OLED-128O032E-LPP3N00000.pdf;None
OLED-128O032F-LPP3N00000;graphic;128 x 32 dots;30.0 x 11.5 x 1.45;24.384 x 7.584;-;0.152 x 0.152;0.175 x 0.175;1/32;SSD1306BZ;Yes;-;-;-;-;37975;Datasheet/displays/OLED-128O032F-LPP3N00000\OLED-128O032F-LPP3N00000.pdf;None
OLED-128O032F-WPP3N00000;graphic;128 x 32 dots;30.0 x 11.5 x 1.45;24.384 x 7.584;-;0.152 x 0.152;0.175 x 0.175;1/32;SSD1306BZ;-;-;-;-;Yes;37976;Datasheet/displays/OLED-128O032F-WPP3N00000\OLED-128O032F-WPP3N00000.pdf;None
OLED-128O064A-LNP3N00000;graphic;128 x 64 dots;42.04 x 27.22 x 1.45;37.05 x 19.52;-;0.249 x 0.249;0.274 x 0.274;1/64;SSD1309ZC;Yes;-;-;-;-;37977;Datasheet/displays/OLED-128O064A-LNP3N00000\OLED-128O064A-LNP3N00000.pdf;None
OLED-128O064D-BPP3N00000;graphic;128 x 64 dots;26.7 x 19.26 x 1.65;23.938 x 12.058;-;0.148 x 0.148;0.17 x 0.17;1/64;SSD1306BZ;-;-;-;Yes;-;37902;Datasheet/displays/OLED-128O064D-BPP3N00000\OLED-128O064D-BPP3N00000.pdf;None
OLED-128O064D-GPP3N00000;graphic;128 x 64 dots;26.7 x 19.26 x 1.65;23.938 x 12.058;-;0.148 x 0.148;0.17 x 0.17;1/64;SSD1306BZ;-;Yes;-;-;-;37903;Datasheet/displays/OLED-128O064D-GPP3N00000\OLED-128O064D-GPP3N00000.pdf;None
OLED-128O064D-LPP3N00000;graphic;128 x 64 dots;26.7 x 19.26 x 1.65;23.938 x 12.058;-;0.148 x 0.148;0.17 x 0.17;1/64;SSD1306;Yes;-;-;-;-;37904;Datasheet/displays/OLED-128O064D-LPP3N00000\OLED-128O064D-LPP3N00000.pdf;None
OLED-128O064D-WPP3N00000;graphic;128 x 64 dots;26.7 x 19.26 x 1.65;23.938 x 12.058;-;0.148 x 0.148;0.17 x 0.17;1/64;SSD1306BZ;-;-;-;-;Yes;37905;Datasheet/displays/OLED-128O064D-WPP3N00000\OLED-128O064D-WPP3N00000.pdf;None
OLED-128O064F-GPP3N00000;graphic;128 x 64 dots;41.8 x 27.9 x 1.8;38.45 x 20.21;-;0.255 x 0.255;0.285 x 0.285;1/64;SSD1325Z1;-;Yes;-;-;-;37906;Datasheet/displays/OLED-128O064F-GPP3N00000\OLED-128O064F-GPP3N00000.pdf;None
OLED-128O064F-LPP3N00000;graphic;128 x 64 dots;41.8 x 27.9 x 1.8;38.45 x 20.21;-;0.255 x 0.255;0.285 x 0.285;1/64;SSD1325;Yes;-;-;-;-;37907;Datasheet/displays/OLED-128O064F-LPP3N00000\OLED-128O064F-LPP3N00000.pdf;None
OLED-128O064F-WPP3N00000;graphic;128 x 64 dots;41.8 x 27.9 x 1.8;38.45 x 20.21;-;0.255 x 0.255;0.285 x 0.285;1/64;SSD1325;-;-;-;-;Yes;37908;Datasheet/displays/OLED-128O064F-WPP3N00000\OLED-128O064F-WPP3N00000.pdf;None
OLED-128O064G-GPP3N00000;graphic;128 x 64 dots;60.50 x 37.00 x 2.15;57.01 x 28.91;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309ZC;-;Yes;-;-;-;37909;Datasheet/displays/OLED-128O064G-GPP3N00000\OLED-128O064G-GPP3N00000.pdf;None
OLED-128O064G-LPP3N00000;graphic;128 x 64 dots;60.50 x 37.00 x 2.15;57.01 x 28.91;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309ZC;Yes;-;-;-;-;37910;Datasheet/displays/OLED-128O064G-LPP3N00000\OLED-128O064G-LPP3N00000.pdf;None
OLED-128O064G-SPP3N00000;graphic;128 x 64 dots;60.50 x 37.00 x 2.15;57.01 x 28.91;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309ZC;-;-;-;Yes;-;37911;Datasheet/displays/OLED-128O064G-SPP3N00000\OLED-128O064G-SPP3N00000.pdf;None
OLED-128O064G-WPP3N00000;graphic;128 x 64 dots;60.50 x 37.00 x 2.15;57.01 x 28.91;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309ZC;-;-;-;-;Yes;37912;Datasheet/displays/OLED-128O064G-WPP3N00000\OLED-128O064G-WPP3N00000.pdf;None
OLED-128O064H-GPP3N00000;graphic;128 x 64 dots;60.50 x 37.00 x 2.15;57.01 x 28.91;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309ZC;-;Yes;-;-;-;37913;Datasheet/displays/OLED-128O064H-GPP3N00000\OLED-128O064H-GPP3N00000.pdf;None
