Series▲▼;Product Image;IFAV(A)▲▼;TC(°C)▲▼;VRRM(V)▲▼;IFSM(A)▲▼;VFat IFMat 25 °C(V at A)▲▼;TJ(°C)▲▼;RthJC(°C/W)▲▼;Package▲▼;Circuit Configuration▲▼;Isolation from Heatsink▲▼;Image path;0;1;2;3d model part
VS-203CNQ100PbF;Enlarge;200;142;100;1700;0.86 at 100;-55 to +175;0.38;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94155.png;diode-modules\VS-203CNQ100PbF\VS-203CNQ100PbF.pdf;;;None
VS-209CNQ...PbF Series;Enlarge;200;131;150;1200;1.06 at 100;-55 to +175;0.38;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94156.png;diode-modules\VS-209CNQ...PbF Series\VS-209CNQ...PbF Series.pdf;;;None
VS-209CNQ...PbF Series;Enlarge;200;131;135;1200;1.06 at 100;-55 to +175;0.38;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94156.png;diode-modules\VS-209CNQ...PbF Series\VS-209CNQ...PbF Series.pdf;;;None
VS-220CNQ030PbF;Enlarge;220;122;30;1950;0.49 at 110;-55 to +150;0.38;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94169.png;diode-modules\VS-220CNQ030PbF\VS-220CNQ030PbF.pdf;;;None
VS-240NQ045PbF;Enlarge;240;104;45;3400;0.72 at 240;-55 to +150;0.19;HALF-PAK (D-67);Single diode;Not Isolated;image/diode-modules94462.png;diode-modules\VS-240NQ045PbF\VS-240NQ045PbF.pdf;;;None
VS-241NQ045PbF;Enlarge;240;144;45;3450;0.8 at 240;-55 to +175;0.19;HALF-PAK (D-67);Single diode;Not Isolated;image/diode-modules94463.png;diode-modules\VS-241NQ045PbF\VS-241NQ045PbF.pdf;;;None
VS-242NQ030PbF;Enlarge;240;118;30;3000;0.54 at 240;-55 to +150;0.19;HALF-PAK (D-67);Single diode;Not Isolated;image/diode-modules94170.png;diode-modules\VS-242NQ030PbF\VS-242NQ030PbF.pdf;;;None
VS-243NQ100PbF;Enlarge;240;132;100;3300;0.95 at 240;-55 to +175;0.19;HALF-PAK (D-67);Single diode;Not Isolated;image/diode-modules94171.png;diode-modules\VS-243NQ100PbF\VS-243NQ100PbF.pdf;;;None
VS-245NQ015PbF;Enlarge;240;73;15;3000;0.52 at 240;-55 to +125;0.19;HALF-PAK (D-67);Single diode;Not Isolated;image/diode-modules94464.png;diode-modules\VS-245NQ015PbF\VS-245NQ015PbF.pdf;;;None
VS-249NQ150PbF;Enlarge;240;121;150;2300;1.21 at 240;-55 to +175;0.19;HALF-PAK (D-67);Single diode;Not Isolated;image/diode-modules94172.png;diode-modules\VS-249NQ150PbF\VS-249NQ150PbF.pdf;;;None
VS-300CNQ045PbF;Enlarge;300;111;45;2400;0.61 at 150;-55 to +150;0.28;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94175.png;diode-modules\VS-300CNQ045PbF\VS-300CNQ045PbF.pdf;;;None
VS-301CNQ...PbF Series;Enlarge;300;132;40;3200;0.69 at 150;-55 to +175;0.28;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94176.png;diode-modules\VS-301CNQ...PbF Series\VS-301CNQ...PbF Series.pdf;;;None
VS-301CNQ...PbF Series;Enlarge;300;132;45;3200;0.69 at 150;-55 to +175;0.28;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94176.png;diode-modules\VS-301CNQ...PbF Series\VS-301CNQ...PbF Series.pdf;;;None
VS-303CNQ100PbF;Enlarge;300;138;100;2500;0.91 at 150;-55 to +175;0.28;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94177.png;diode-modules\VS-303CNQ100PbF\VS-303CNQ100PbF.pdf;;;None
VS-400CNQ045PbF;Enlarge;400;114;45;3400;0.57 at 200;-55 to +150;0.19;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94204.png;diode-modules\VS-400CNQ045PbF\VS-400CNQ045PbF.pdf;;;None
VS-401CNQ...PbF Series;Enlarge;400;147;45;3450;0.67 at 200;-55 to +175;0.19;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94205.png;diode-modules\VS-401CNQ...PbF Series\VS-401CNQ...PbF Series.pdf;;;None
VS-401CNQ...PbF Series;Enlarge;400;147;40;3450;0.67 at 200;-55 to +175;0.19;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94205.png;diode-modules\VS-401CNQ...PbF Series\VS-401CNQ...PbF Series.pdf;;;None
VS-402CNQ200PBF;Enlarge;551;175;;2100;0.845 at 200;-40 to +175;0.19;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules96898.png;diode-modules\VS-402CNQ200PBF\VS-402CNQ200PBF.pdf;;;None
VS-403CNQ100PbF;Enlarge;400;141;100;3300;0.84 at 200;-55 to +175;0.19;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94206.png;diode-modules\VS-403CNQ100PbF\VS-403CNQ100PbF.pdf;;;None
VS-409CNQ...PbF Series;Enlarge;400;129;135;2300;1.13 at 200;-55 to +175;0.19;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94207.png;diode-modules\VS-409CNQ...PbF Series\VS-409CNQ...PbF Series.pdf;;;None
VS-409CNQ...PbF Series;Enlarge;400;129;150;2300;1.13 at 200;-55 to +175;0.19;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94207.png;diode-modules\VS-409CNQ...PbF Series\VS-409CNQ...PbF Series.pdf;;;None
VS-440CNQ030PbF;Enlarge;440;125;30;3000;0.51 at 220;-55 to +150;0.19;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94226.png;diode-modules\VS-440CNQ030PbF\VS-440CNQ030PbF.pdf;;;None
VS-QA100FA10;Enlarge;100;93;100;450;0.83 at 50;-40 to +150;0.89;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules97111.png;diode-modules\VS-QA100FA10\VS-QA100FA10.pdf;;;None
VS-QA200FA10;Enlarge;200;82;100;765;0.83 at 100;-40 to +150;0.52;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules97112.png;diode-modules\VS-QA200FA10\VS-QA200FA10.pdf;;;None
VS-QA250FA20;Enlarge;250;106;200;900;1.0 at 125;-55 to +175;0.44;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules95876.png;diode-modules\VS-QA250FA20\VS-QA250FA20.pdf;;;None
VS-QA300FA17;Enlarge;300;132;170;1575;0.79 at 100;-55 to +175;0.26;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96194.png;diode-modules\VS-QA300FA17\VS-QA300FA17.pdf;;;None
VS-VSKCS200/045;Enlarge;200;91;45;1700;0.67 at 100;-55 to +150;0.52;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules94965.png;diode-modules\VS-VSKCS200;045\VS-VSKCS200;045.pdf;None
VS-VSKCS201/045;Enlarge;200;123;45;1850;0.72 at 100;-55 to +175;0.52;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules93233.png;diode-modules\VS-VSKCS201;045\VS-VSKCS201;045.pdf;None
VS-VSKCS203/100;Enlarge;200;121;100;1700;0.99 at 100;-55 to +175;0.52;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules93195.png;diode-modules\VS-VSKCS203;100\VS-VSKCS203;100.pdf;None
VS-VSKCS209/150;Enlarge;200;113;150;1600;1.01 at 100;-55 to +175;0.52;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules93229.png;diode-modules\VS-VSKCS209;150\VS-VSKCS209;150.pdf;None
VS-VSKCS220/030;Enlarge;220;110;30;2000;0.59 at 110;-55 to +150;0.52;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules94633.png;diode-modules\VS-VSKCS220;030\VS-VSKCS220;030.pdf;None
VS-VSKCS400/045;Enlarge;400;91;45;3400;0.67 at 200;-55 to +150;0.26;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules94634.png;diode-modules\VS-VSKCS400;045\VS-VSKCS400;045.pdf;None
VS-VSKCS401/045;Enlarge;400;120;45;3400;0.72 at 200;-55 to +175;0.26;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules94635.png;diode-modules\VS-VSKCS401;045\VS-VSKCS401;045.pdf;None
VS-VSKCS403/100;Enlarge;400;104;100;2600;0.99 at 200;-55 to +175;0.32;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules94636.png;diode-modules\VS-VSKCS403;100\VS-VSKCS403;100.pdf;None
VS-VSKCS408/060;Enlarge;400;102;60;3300;0.74 at 200;-55 to +150;0.26;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules94637.png;diode-modules\VS-VSKCS408;060\VS-VSKCS408;060.pdf;None
VS-VSKCS409/150;Enlarge;400;105;150;2300;1.03 at 200;-55 to +175;0.32;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules94648.png;diode-modules\VS-VSKCS409;150\VS-VSKCS409;150.pdf;None
VS-VSKCS440/030;Enlarge;440;97;30;3000;0.68 at 220;-55 to +150;0.26;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image/diode-modules94638.png;diode-modules\VS-VSKCS440;030\VS-VSKCS440;030.pdf;None
VS-VSKDS200/045;Enlarge;100;91;45;1700;0.67 at 100;-55 to +150;0.52;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules94966.png;diode-modules\VS-VSKDS200;045\VS-VSKDS200;045.pdf;None
VS-VSKDS201/045;Enlarge;100;123;45;1850;0.72 at 100;-55 to +175;0.52;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules93234.png;diode-modules\VS-VSKDS201;045\VS-VSKDS201;045.pdf;None
VS-VSKDS203/100;Enlarge;100;121;100;1700;0.99 at 100;-55 to +175;0.52;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules93225.png;diode-modules\VS-VSKDS203;100\VS-VSKDS203;100.pdf;None
VS-VSKDS209/150;Enlarge;100;113;150;1600;1.01 at 100;-55 to +175;0.52;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules93230.png;diode-modules\VS-VSKDS209;150\VS-VSKDS209;150.pdf;None
VS-VSKDS220/030;Enlarge;110;110;30;2000;0.59 at 110;-55 to +150;0.52;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules94639.png;diode-modules\VS-VSKDS220;030\VS-VSKDS220;030.pdf;None
VS-VSKDS400/045;Enlarge;200;91;45;3400;0.67 at 200;-55 to +150;0.26;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules94640.png;diode-modules\VS-VSKDS400;045\VS-VSKDS400;045.pdf;None
VS-VSKDS401/045;Enlarge;200;120;45;3450;0.72 at 200;-55 to +175;0.26;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules94641.png;diode-modules\VS-VSKDS401;045\VS-VSKDS401;045.pdf;None
VS-VSKDS403/100;Enlarge;200;104;100;2600;0.99 at 200;-55 to +175;0.32;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules94642.png;diode-modules\VS-VSKDS403;100\VS-VSKDS403;100.pdf;None
VS-VSKDS408/060;Enlarge;400;102;60;3300;0.74 at 200;-55 to +150;0.26;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules94643.png;diode-modules\VS-VSKDS408;060\VS-VSKDS408;060.pdf;None
VS-VSKDS409/150;Enlarge;200;105;150;2300;1.03 at 200;-55 to +175;0.32;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules94649.png;diode-modules\VS-VSKDS409;150\VS-VSKDS409;150.pdf;None
VS-VSKDS440/030;Enlarge;220;97;30;3000;0.68 at 220;-55 to +150;0.26;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image/diode-modules94644.png;diode-modules\VS-VSKDS440;030\VS-VSKDS440;030.pdf;None
VS-VSKJS203/100;Enlarge;200;121;100;1700;0.99 at 100;-55 to +175;0.52;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image/diode-modules93226.png;diode-modules\VS-VSKJS203;100\VS-VSKJS203;100.pdf;None
VS-VSKJS209/150;Enlarge;200;113;150;1600;1.01 at 100;-55 to +175;0.52;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image/diode-modules93232.png;diode-modules\VS-VSKJS209;150\VS-VSKJS209;150.pdf;None
VS-VSKJS403/100;Enlarge;400;121;100;2600;0.99 at 200;-55 to +175;0.32;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image/diode-modules96083.png;diode-modules\VS-VSKJS403;100\VS-VSKJS403;100.pdf;None
VS-VSKJS409/150;Enlarge;400;105;150;2300;1.03 at 200;-55 to +175;0.32;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image/diode-modules93106.png;diode-modules\VS-VSKJS409;150\VS-VSKJS409;150.pdf;None
VS-VSKJS440/030;Enlarge;440;97;30;3000;0.68 at 220;-55 to +150;0.26;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image/diode-modules94645.png;diode-modules\VS-VSKJS440;030\VS-VSKJS440;030.pdf;None
